rank,title,age_group
1,The Shawshank Redemption,R
2,The Dark Knight,PG-13
3,Inception,PG-13
4,Fight Club,R
5,Forrest Gump,PG-13
6,Interstellar,PG-13
7,Pulp Fiction,R
8,The Matrix,R
9,The Godfather,R
10,The Lord of the Rings: The Fellowship of the Ring,PG-13
11,The Lord of the Rings: The Return of the King,PG-13
12,The Dark Knight Rises,PG-13
13,Se7en,R
14,The Lord of the Rings: The Two Towers,PG-13
15,Django Unchained,R
16,Gladiator,R
17,The Wolf of Wall Street,R
18,Inglourious Basterds,R
19,Batman Begins,PG-13
20,The Silence of the Lambs,R
21,Joker,R
22,Saving Private Ryan,R
23,Shutter Island,R
24,Schindler's List,R
25,The Prestige,PG-13
26,The Avengers,PG-13
27,Star Wars: Episode IV - A New Hope,PG
28,The Departed,R
29,The Green Mile,R
30,Star Wars: Episode V - The Empire Strikes Back,PG
31,Avatar,PG-13
32,The Godfather Part II,R
33,Memento,R
34,Back to the Future,PG
35,Avengers: Endgame,PG-13
36,Titanic,PG-13
37,Goodfellas,R
38,Guardians of the Galaxy,PG-13
39,Léon: The Professional,R
40,Avengers: Infinity War,PG-13
41,The Truman Show,PG
42,Pirates of the Caribbean: The Curse of the Black Pearl,PG-13
43,WALL·E,G
44,Kill Bill: Vol. 1,R
45,American Beauty,R
46,Terminator 2: Judgment Day,R
47,American History X,R
48,V for Vendetta,R
49,Deadpool,R
50,The Lion King,G
51,The Usual Suspects,R
52,Up,PG
53,Iron Man,PG-13
54,The Shining,R
55,Mad Max: Fury Road,R
56,Star Wars: Episode VI - Return of the Jedi,PG
57,Catch Me If You Can,PG-13
58,Finding Nemo,G
59,Eternal Sunshine of the Spotless Mind,R
60,Good Will Hunting,R
61,Reservoir Dogs,R
62,Braveheart,R
63,Toy Story,G
64,No Country for Old Men,R
65,Gone Girl,R
66,Jurassic Park,PG-13
67,One Flew Over the Cuckoo's Nest,R
68,The Sixth Sense,PG-13
69,Raiders of the Lost Ark,PG
70,Whiplash,R
71,Parasite,R
72,The Hunger Games,PG-13
73,"Monsters, Inc.",G
74,A Beautiful Mind,PG-13
75,Alien,R
76,Star Wars: Episode VII - The Force Awakens,PG-13
77,Harry Potter and the Deathly Hallows: Part 2,PG-13
78,Die Hard,R
79,Taxi Driver,R
80,The Intouchables,R
81,The Martian,PG-13
82,The Pianist,R
83,The Terminator,R
84,Scarface,R
85,Avengers: Age of Ultron,PG-13
86,Dune: Part One,PG-13
87,Spider-Man: No Way Home,PG-13
88,Snatch,R
89,Requiem for a Dream,NC-17
90,Captain America: The Winter Soldier,PG-13
91,Thor,PG-13
92,Captain America: The First Avenger,PG-13
93,Iron Man 3,PG-13
94,Toy Story 3,G
